iter	MeanSimScore	StdSimScore	MeanNegScore	StdNegScore
05001	0.465884775	0.19930512	-0.002713968	0.13832279
05002	0.439504027	0.17953074	-0.001185013	0.13732269
05003	0.400654525	0.18167040	-0.002878369	0.13591924
05004	0.455941677	0.20873599	-0.004109318	0.13501206
05005	0.440906346	0.18791860	-0.002323804	0.13670982
05006	0.469686598	0.18774505	-0.002840182	0.13691674
05007	0.447334826	0.19893545	-0.004015082	0.13992232
05008	0.420572072	0.18035659	-0.002877043	0.13904837
05009	0.449166745	0.17507188	-0.000652750	0.13784587
05010	0.493768305	0.20161584	-0.001355542	0.13559049
05011	0.420343131	0.20369755	-0.000929953	0.13339068
05012	0.410957545	0.22078073	-0.000816070	0.13734832
05013	0.458189815	0.20450607	-0.003927574	0.13341779
05014	0.406585097	0.18674935	-0.003053211	0.13899118
05015	0.402807385	0.16919516	-0.002172153	0.13457736
05016	0.427551270	0.17462444	-0.003273441	0.13635460
05017	0.372414559	0.17868994	-0.003263881	0.13591257
05018	0.423668265	0.18572727	-0.000138085	0.13939762
05019	0.482038647	0.18785940	-0.000733325	0.13696592
05020	0.400453359	0.18021652	-0.002676082	0.13980460
05021	0.437359422	0.19766176	-0.003832990	0.13307713
05022	0.412162900	0.18007125	-0.002746506	0.13708577
05023	0.486328572	0.20310456	-0.002381626	0.13643886
05024	0.393653125	0.16528179	-0.003034176	0.13837236
05025	0.408931971	0.20142739	-0.003382495	0.13448097
05026	0.422377765	0.18222769	-0.000902781	0.14106540
05027	0.444230795	0.17838651	-0.003624701	0.13648064
05028	0.427715570	0.19766082	-0.004683419	0.13757423
05029	0.475452513	0.21062861	-0.003679249	0.13708873
05030	0.468148291	0.18388997	-0.002853822	0.13490194
05031	0.442377329	0.19051252	-0.003632720	0.13795120
05032	0.416690856	0.19803283	-0.002900249	0.13539959
05033	0.476379484	0.18447074	-0.001799168	0.13534707
05034	0.421340644	0.18248437	-0.003334666	0.13814898
05035	0.408708632	0.17893349	-0.002019277	0.13801828
05036	0.480664819	0.19706237	-0.005296210	0.13402577
05037	0.481678545	0.19390050	-0.002751098	0.13555409
05038	0.484905630	0.19587310	-0.003778457	0.13698110
05039	0.474796653	0.21030758	-0.002426350	0.13509528
05040	0.486890167	0.20023203	-0.002825013	0.13910122
05041	0.485965133	0.22097215	-0.002383378	0.13262951
05042	0.482905120	0.20630510	-0.003970264	0.13381477
05043	0.477543533	0.17964131	-0.002825750	0.13316181
05044	0.459274024	0.19732840	-0.000714182	0.13387853
05045	0.427994728	0.19658057	-0.002485598	0.13301036
05046	0.482092321	0.20716627	-0.002319674	0.13277739
05047	0.473934144	0.20704132	-0.003250318	0.13563217
05048	0.439974308	0.19771118	-0.003456329	0.13496412
05049	0.434508562	0.19396064	-0.001240557	0.13824342
05050	0.414651960	0.17729254	-0.002451912	0.13919786
05051	0.437883854	0.19711480	-0.003304007	0.12977606
05052	0.440960705	0.19603948	-0.002699899	0.13478048
05053	0.454337060	0.21831760	-0.004961261	0.13436863
05054	0.418545395	0.18566273	-0.003250860	0.13727847
05055	0.449919015	0.19459802	-0.001631233	0.13591914
05056	0.460928202	0.17834693	-0.000517157	0.13578998
05057	0.455377698	0.20742503	-0.002887645	0.13773941
05058	0.398189694	0.18290488	-0.002281827	0.13683566
05059	0.425361484	0.19979669	-0.003512615	0.13515744
05060	0.415979803	0.19135153	-0.002305170	0.13407369
05061	0.456190825	0.20148547	-0.002208532	0.13765836
