iter	MeanSimScore	StdSimScore	MeanNegScore	StdNegScore
05001	0.419274867	0.18981858	-0.002326308	0.13909785
05002	0.403116077	0.17688639	-0.001924470	0.14010629
05003	0.369640857	0.17993747	-0.002469763	0.13867837
05004	0.415962607	0.19501577	-0.003296732	0.13868093
05005	0.389429659	0.18115398	-0.002069969	0.13872968
05006	0.424413979	0.19211532	-0.003078010	0.13890164
05007	0.392802387	0.20647387	-0.003090165	0.13967055
05008	0.376364976	0.17116106	-0.002296364	0.14171596
05009	0.388202161	0.18384847	-0.001539138	0.13876852
05010	0.426852733	0.20275900	-0.001743560	0.13756183
05011	0.403905898	0.19120434	-0.001587520	0.13873146
05012	0.367796093	0.19315276	-0.002536945	0.13943337
05013	0.417202085	0.20036215	-0.003018106	0.13807440
05014	0.357067823	0.18018423	-0.003963995	0.13984117
05015	0.349764973	0.17682689	-0.001920073	0.13835309
05016	0.380706340	0.17114578	-0.003130619	0.13805392
05017	0.364771247	0.17207500	-0.003432850	0.13810608
05018	0.379873008	0.18175796	-0.001376167	0.13964546
05019	0.404291749	0.19591630	-0.001358305	0.14174888
05020	0.367250174	0.17585266	-0.003343649	0.13936691
05021	0.395653903	0.19732767	-0.003573533	0.13597171
05022	0.381557256	0.17684074	-0.002908691	0.14032212
05023	0.436957419	0.20549414	-0.003289307	0.13704471
05024	0.359493643	0.15909441	-0.002578853	0.13960911
05025	0.373939902	0.19367452	-0.002936958	0.13816124
05026	0.373006701	0.17586333	-0.002244787	0.14217670
05027	0.400837630	0.17385820	-0.003386496	0.13846186
05028	0.381298602	0.18338308	-0.003886779	0.13946000
05029	0.430426955	0.19907759	-0.002818047	0.13982268
05030	0.383712381	0.20369039	-0.003086317	0.13844994
05031	0.380756974	0.19127642	-0.003460139	0.13707009
05032	0.382586747	0.18711452	-0.002096590	0.13825682
05033	0.421724379	0.19143595	-0.002978100	0.13797174
05034	0.382277727	0.18573520	-0.003023101	0.14010514
05035	0.356962442	0.17024197	-0.002964432	0.14015859
05036	0.416765869	0.20333187	-0.003520417	0.13754669
05037	0.410184532	0.20501874	-0.002832072	0.13853446
05038	0.416185915	0.19408369	-0.002713418	0.14147295
05039	0.423263758	0.20413104	-0.002951931	0.13691102
05040	0.429187775	0.20196228	-0.003436342	0.14027698
05041	0.396657974	0.23275648	-0.002637837	0.13653767
05042	0.422564417	0.20726129	-0.003221720	0.13751574
05043	0.399750918	0.19095255	-0.003155236	0.13553162
05044	0.387321174	0.19369778	-0.002015873	0.13647856
05045	0.359152764	0.19955122	-0.002814931	0.13590834
05046	0.412936926	0.20276198	-0.002188472	0.13653332
05047	0.411392659	0.21233496	-0.002007167	0.13703683
05048	0.385523230	0.19264752	-0.002569170	0.13880968
05049	0.376209736	0.19615996	-0.001770579	0.13997409
05050	0.360110015	0.17837620	-0.002988363	0.13948905
05051	0.385899454	0.18856525	-0.003667799	0.13472360
05052	0.361228555	0.19163416	-0.003143128	0.13671231
05053	0.396983743	0.21595553	-0.002657236	0.13970479
05054	0.379006892	0.17513984	-0.002810016	0.13931601
05055	0.388627440	0.19470659	-0.001321391	0.13684271
05056	0.399987102	0.18206376	-0.002230099	0.13866240
05057	0.388493210	0.20399944	-0.002910905	0.14111102
05058	0.348358870	0.18000498	-0.002932071	0.13933800
05059	0.382111192	0.18522577	-0.002948748	0.13734341
05060	0.394810140	0.18704033	-0.002566097	0.13598597
05061	0.381450534	0.20321530	-0.002927284	0.13891424
05062	0.381224185	0.19329052	-0.002324516	0.14135700
05063	0.398750663	0.18948668	-0.001752061	0.13995259
05064	0.406388491	0.19983457	-0.001853629	0.13946043
05065	0.414939106	0.20241202	-0.000769241	0.13755551
05066	0.395253450	0.19303432	-0.002553590	0.13662301
05067	0.426988572	0.19217302	-0.002325740	0.13507229
05068	0.405065328	0.19281252	-0.001432374	0.13884807
05069	0.366341710	0.18706176	-0.002697616	0.13760924
05070	0.373387426	0.18567750	-0.003922285	0.13752671
05071	0.374766558	0.17596869	-0.002383443	0.13913444
05072	0.367908359	0.19861183	-0.002324121	0.13844205
05073	0.390234709	0.18974052	-0.003059437	0.13739432
05074	0.399132252	0.20961845	-0.003085230	0.13780075
05075	0.415147513	0.19388746	-0.002054180	0.13748269
05076	0.413054228	0.19511203	-0.002782217	0.13765289
05077	0.427324265	0.17283462	-0.001680785	0.13728824
05078	0.384076267	0.19445018	-0.003006218	0.13744007
05079	0.413391888	0.19195421	-0.002225065	0.13971050
05080	0.385391831	0.17610955	-0.003552071	0.13874902
05081	0.404780656	0.18875900	-0.002489051	0.13813670
05082	0.400226176	0.19803092	-0.000951674	0.13889615
05083	0.422044158	0.19623078	-0.002530153	0.13731655
05084	0.432914674	0.19805764	-0.001999793	0.13909736
05085	0.422006637	0.19504419	-0.003777895	0.13938457
05086	0.387179285	0.20056263	-0.002666435	0.13887057
